province_state,country_region,date,latitude,longitude,location_geom,confirmed,deaths,recovered,active,fips,admin2,combined_key
Meta,Colombia,2021-08-18,3.272,-73.0877,POINT(-73.0877 3.272),86951,2185,,,,,"Meta, Colombia"
Meta,Colombia,2021-08-08,3.272,-73.0877,POINT(-73.0877 3.272),86349,2166,,,,,"Meta, Colombia"
Meta,Colombia,2021-08-25,3.272,-73.0877,POINT(-73.0877 3.272),87202,2203,,,,,"Meta, Colombia"
Meta,Colombia,2021-11-25,3.272,-73.0877,POINT(-73.0877 3.272),90084,2282,,,,,"Meta, Colombia"
Meta,Colombia,2021-11-08,3.272,-73.0877,POINT(-73.0877 3.272),89777,2279,,,,,"Meta, Colombia"
Meta,Colombia,2021-12-11,3.272,-73.0877,POINT(-73.0877 3.272),90397,2286,,,,,"Meta, Colombia"
Meta,Colombia,2021-09-11,3.272,-73.0877,POINT(-73.0877 3.272),87626,2217,,,,,"Meta, Colombia"
Meta,Colombia,2021-01-05,3.272,-73.0877,POINT(-73.0877 3.272),34897,756,32869,1272,,,"Meta, Colombia"
Meta,Colombia,2021-01-11,3.272,-73.0877,POINT(-73.0877 3.272),36260,784,34159,1317,,,"Meta, Colombia"
Meta,Colombia,2021-08-31,3.272,-73.0877,POINT(-73.0877 3.272),87413,2206,,,,,"Meta, Colombia"
Meta,Colombia,2021-05-18,3.272,-73.0877,POINT(-73.0877 3.272),49305,1165,47364,776,,,"Meta, Colombia"
Meta,Colombia,2021-01-13,3.272,-73.0877,POINT(-73.0877 3.272),36668,797,34818,1053,,,"Meta, Colombia"
Meta,Colombia,2021-01-21,3.272,-73.0877,POINT(-73.0877 3.272),38795,837,36666,1292,,,"Meta, Colombia"
Meta,Colombia,2021-03-21,3.272,-73.0877,POINT(-73.0877 3.272),43271,990,41817,464,,,"Meta, Colombia"
Meta,Colombia,2021-05-06,3.272,-73.0877,POINT(-73.0877 3.272),47592,1098,46002,492,,,"Meta, Colombia"
Meta,Colombia,2021-05-23,3.272,-73.0877,POINT(-73.0877 3.272),50251,1188,48169,894,,,"Meta, Colombia"
Meta,Colombia,2021-08-30,3.272,-73.0877,POINT(-73.0877 3.272),87380,2206,,,,,"Meta, Colombia"
Meta,Colombia,2021-01-06,3.272,-73.0877,POINT(-73.0877 3.272),35127,759,32946,1422,,,"Meta, Colombia"
Meta,Colombia,2021-10-02,3.272,-73.0877,POINT(-73.0877 3.272),88299,2231,,,,,"Meta, Colombia"
Meta,Colombia,2021-08-04,3.272,-73.0877,POINT(-73.0877 3.272),85865,2139,82668,1058,,,"Meta, Colombia"
Meta,Colombia,2021-01-16,3.272,-73.0877,POINT(-73.0877 3.272),37525,814,35333,1378,,,"Meta, Colombia"
Meta,Colombia,2021-03-04,3.272,-73.0877,POINT(-73.0877 3.272),42546,974,41036,536,,,"Meta, Colombia"
Meta,Colombia,2021-04-12,3.272,-73.0877,POINT(-73.0877 3.272),44503,1018,42933,552,,,"Meta, Colombia"
Meta,Colombia,2021-07-12,3.272,-73.0877,POINT(-73.0877 3.272),78977,1891,75875,1211,,,"Meta, Colombia"
Meta,Colombia,2021-05-08,3.272,-73.0877,POINT(-73.0877 3.272),47913,1108,46206,599,,,"Meta, Colombia"
Meta,Colombia,2021-10-12,3.272,-73.0877,POINT(-73.0877 3.272),89228,2257,,,,,"Meta, Colombia"
Meta,Colombia,2021-03-20,3.272,-73.0877,POINT(-73.0877 3.272),43234,990,41785,459,,,"Meta, Colombia"
Meta,Colombia,2021-09-16,3.272,-73.0877,POINT(-73.0877 3.272),87701,2224,,,,,"Meta, Colombia"
Meta,Colombia,2021-02-24,3.272,-73.0877,POINT(-73.0877 3.272),42180,968,40683,529,,,"Meta, Colombia"
Meta,Colombia,2021-08-19,3.272,-73.0877,POINT(-73.0877 3.272),86994,2191,,,,,"Meta, Colombia"
Meta,Colombia,2021-10-27,3.272,-73.0877,POINT(-73.0877 3.272),89638,2276,,,,,"Meta, Colombia"
Meta,Colombia,2021-03-19,3.272,-73.0877,POINT(-73.0877 3.272),43172,989,41720,463,,,"Meta, Colombia"
Meta,Colombia,2021-04-11,3.272,-73.0877,POINT(-73.0877 3.272),44420,1016,42883,521,,,"Meta, Colombia"
Meta,Colombia,2021-03-09,3.272,-73.0877,POINT(-73.0877 3.272),42731,979,41291,461,,,"Meta, Colombia"
Meta,Colombia,2021-06-07,3.272,-73.0877,POINT(-73.0877 3.272),56581,1311,53927,1343,,,"Meta, Colombia"
Meta,Colombia,2021-06-11,3.272,-73.0877,POINT(-73.0877 3.272),58820,1365,55566,1889,,,"Meta, Colombia"
Meta,Colombia,2021-07-28,3.272,-73.0877,POINT(-73.0877 3.272),84920,2081,81664,1175,,,"Meta, Colombia"
Meta,Colombia,2021-05-28,3.272,-73.0877,POINT(-73.0877 3.272),52271,1224,49948,1099,,,"Meta, Colombia"
Meta,Colombia,2021-09-01,3.272,-73.0877,POINT(-73.0877 3.272),87432,2208,,,,,"Meta, Colombia"
Meta,Colombia,2021-07-01,3.272,-73.0877,POINT(-73.0877 3.272),72763,1723,69022,2018,,,"Meta, Colombia"
Meta,Colombia,2021-08-23,3.272,-73.0877,POINT(-73.0877 3.272),87178,2202,,,,,"Meta, Colombia"
Meta,Colombia,2021-12-21,3.272,-73.0877,POINT(-73.0877 3.272),90668,2296,,,,,"Meta, Colombia"
Meta,Colombia,2021-11-07,3.272,-73.0877,POINT(-73.0877 3.272),89757,2279,,,,,"Meta, Colombia"
Meta,Colombia,2021-12-12,3.272,-73.0877,POINT(-73.0877 3.272),90432,2287,,,,,"Meta, Colombia"
Meta,Colombia,2021-05-25,3.272,-73.0877,POINT(-73.0877 3.272),51010,1199,48788,1023,,,"Meta, Colombia"
